factor,update_method,algorithm,builds_saved
3,linear,BATCHBISECT,49.18341709
4,linear,BATCHBISECT,48.86934673
2,linear,BATCHSTOP4,62.31155779
3,linear,BATCHSTOP4,60.92964824
4,linear,BATCHSTOP4,60.05025126
2,linear,BATCHDIVIDE4,48.36683417
3,linear,BATCHDIVIDE4,49.56030151
4,linear,BATCHDIVIDE4,49.56030151
2,exponential,BATCHBISECT,48.49246231
3,exponential,BATCHBISECT,49.43467337
2,exponential,BATCHSTOP4,59.79899497
3,exponential,BATCHSTOP4,60.61557789
2,exponential,BATCHDIVIDE4,47.73869347
3,exponential,BATCHDIVIDE4,56.72110553
2,stagger,BATCHBISECT,50.56532663
3,stagger,BATCHBISECT,51.94723618
2,stagger,BATCHSTOP4,61.8718593
3,stagger,BATCHSTOP4,61.49497487
2,stagger,BATCHDIVIDE4,46.79648241
3,stagger,BATCHDIVIDE4,46.16834171
-1,random_linear,BATCHBISECT,50.12562814
