,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size
136,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,841,58.366336633663366,2020
137,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,857,57.57425742574257,2020
138,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,621,68.28396322778346,1958
139,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,618,68.43718079673135,1958
140,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,580,70.3779366700715,1958
141,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,566,71.0929519918284,1958
142,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,830,57.60980592441267,1958
143,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,820,58.12053115423902,1958
144,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,107,-20.224719101123597,89
145,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,109,-22.471910112359552,89
146,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,91,-2.247191011235955,89
147,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,91,-2.247191011235955,89
148,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,91,-2.247191011235955,89
149,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,91,-2.247191011235955,89
150,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,85,-16.438356164383563,73
151,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,89,-21.917808219178085,73
152,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,75,-2.7397260273972535,73
153,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,76,-4.109589041095887,73
154,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,75,-2.7397260273972535,73
155,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,76,-4.109589041095887,73
156,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,629,70.75778707577871,2151
157,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,652,69.6885169688517,2151
158,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,547,74.56996745699675,2151
159,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,585,72.80334728033472,2151
160,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,815,62.11064621106462,2151
161,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,858,60.1115760111576,2151
162,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,608,70.93690248565966,2092
163,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,604,71.12810707456978,2092
164,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,532,74.5697896749522,2092
165,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,546,73.90057361376674,2092
166,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,800,61.75908221797323,2092
167,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,826,60.51625239005736,2092
168,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,839,60.83099906629318,2142
169,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,848,60.41083099906629,2142
170,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,771,64.00560224089637,2142
171,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,759,64.56582633053222,2142
172,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,999,53.36134453781513,2142
173,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,999,53.36134453781513,2142
174,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,791,59.289758106021615,1943
175,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,786,59.547092125579,1943
176,naver-pinpoint.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,727,62.58363355635615,1943
177,naver-pinpoint.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,709,63.51003602676274,1943
178,naver-pinpoint.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,936,51.82707153885744,1943
179,naver-pinpoint.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,929,52.18733916623778,1943
180,FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1289,42.48103525211959,2241
181,FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1295,42.21329763498438,2241
182,FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1191,46.85408299866131,2241
183,FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1194,46.72021419009371,2241
184,FasterXML-jackson-databind.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1357,39.44667559125391,2241
185,FasterXML-jackson-databind.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1360,39.3128067826863,2241
186,FasterXML-jackson-databind.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1251,42.40331491712707,2172
187,FasterXML-jackson-databind.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1236,43.0939226519337,2172
188,FasterXML-jackson-databind.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1150,47.05340699815838,2172
189,FasterXML-jackson-databind.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1143,47.3756906077348,2172
190,FasterXML-jackson-databind.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1316,39.41068139963168,2172
191,FasterXML-jackson-databind.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,1313,39.548802946593,2172
192,samtools-htsjdk.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,560,67.23229959040376,1709
193,samtools-htsjdk.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,594,65.2428320655354,1709
194,samtools-htsjdk.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,498,70.8601521357519,1709
195,samtools-htsjdk.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,524,69.33879461673493,1709
196,samtools-htsjdk.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,695,59.33294324166179,1709
197,samtools-htsjdk.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,724,57.63604447045056,1709
198,samtools-htsjdk.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,548,66.15194564546016,1619
199,samtools-htsjdk.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,543,66.46077825818406,1619
200,samtools-htsjdk.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,484,70.10500308832613,1619
201,samtools-htsjdk.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,479,70.41383570105003,1619
202,samtools-htsjdk.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,675,58.30759728227301,1619
203,samtools-htsjdk.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,681,57.936998147004324,1619
204,deeplearning4j-deeplearning4j.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1845,-0.2717391304347814,1840
205,deeplearning4j-deeplearning4j.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1859,-1.032608695652172,1840
206,deeplearning4j-deeplearning4j.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1792,2.608695652173907,1840
207,deeplearning4j-deeplearning4j.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1798,2.282608695652172,1840
208,deeplearning4j-deeplearning4j.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1795,2.4456521739130466,1840
209,deeplearning4j-deeplearning4j.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1802,2.065217391304344,1840
210,deeplearning4j-deeplearning4j.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1845,-0.2717391304347814,1840
211,deeplearning4j-deeplearning4j.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1859,-1.032608695652172,1840
212,deeplearning4j-deeplearning4j.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1792,2.608695652173907,1840
213,deeplearning4j-deeplearning4j.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1798,2.282608695652172,1840
214,deeplearning4j-deeplearning4j.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1795,2.4456521739130466,1840
215,deeplearning4j-deeplearning4j.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,1802,2.065217391304344,1840
216,open-keychain-open-keychain.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1235,30.734716769489623,1783
217,open-keychain-open-keychain.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1236,30.67863151991027,1783
218,open-keychain-open-keychain.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1107,37.91362871564778,1783
219,open-keychain-open-keychain.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1079,39.48401570386988,1783
220,open-keychain-open-keychain.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1195,32.97812675266405,1783
221,open-keychain-open-keychain.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1148,35.614133482894005,1783
222,open-keychain-open-keychain.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1158,31.641086186540733,1694
223,open-keychain-open-keychain.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1178,30.460448642266826,1694
224,open-keychain-open-keychain.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1033,39.02007083825266,1694
225,open-keychain-open-keychain.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1027,39.37426210153483,1694
226,open-keychain-open-keychain.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1114,34.238488783943325,1694
